Rank,Company,Industry,Revenue,Employees
1,Amazon,Internet Services and Retailing,$716.9B,1.6M
2,Walmart,General Merchandisers,$713.2B,2.1M
3,UnitedHealth,Health Care: Insurance and Managed Care,$447.6B,400K
4,Apple,"Computers, Office Equipment",$416.2B,164K
5,Alphabet,Internet Services and Retailing,$402.8B,183.3K
6,CVS Health,Health Care: Pharmacy and Other Services,$402.1B,259.5K
7,McKesson,Wholesalers: Health Care,$387.1B,48K
8,Berkshire Hathaway,Insurance: Property and Casualty (Stock),$377B,392.4K
9,Exxon Mobil,Petroleum Refining,$332.2B,60.9K
10,Cencora,Wholesalers: Health Care,$321.3B,44K
11,Microsoft,Computer Software,$293.8B,228K
12,Costco,General Merchandisers,$275.2B,333K
13,Cigna,Health Care: Pharmacy and Other Services,$268.1B,72.4K
14,Cardinal Health,Wholesalers: Health Care,$234.3B,48.4K
15,Elevance Health,Health Care: Insurance and Managed Care,$194.8B,103.7K
16,Ford Motor,Motor Vehicles & Parts,$189.6B,171K
17,Meta,Internet Services and Retailing,$189.5B,74.1K
18,Chevron,Petroleum Refining,$188.7B,45.3K
19,General Motors,Motor Vehicles & Parts,$187.4B,162K
20,Nvidia,Semiconductors and Other Electronic Components,$187.1B,36K
21,Centene,Health Care: Insurance and Managed Care,$167.7B,60.5K
22,JPMorgan Chase,Commercial Banks,$167.2B,317.2K
23,Home Depot,Specialty Retailers: Other,$166.2B,470.1K
24,Walgreens,Food & Drug Stores,$154.6B,252.5K
25,Fannie Mae,Diversified Financials,$152.7B,8.2K
26,Kroger,Food & Drug Stores,$147.2B,409K
27,Verizon,Telecommunications,$137.5B,99.6K
28,Marathon Petroleum,Petroleum Refining,$133.6B,18.3K
29,Phillips 66,Petroleum Refining,$131.9B,13.2K
30,StoneX,Diversified Financials,$130.9B,4.5K
31,Humana,Health Care: Insurance and Managed Care,$126.4B,65.7K
32,AT&T,Telecommunications,$124.5B,141K
33,Comcast,Telecommunications,$123.3B,182K
34,State Farm,Insurance: Property and Casualty (Mutual),$123B,67.4K
35,Freddie Mac,Diversified Financials,$122.1B,8.1K
36,Valero Energy,Petroleum Refining,$116.5B,9.9K
37,Target,General Merchandisers,$105.2B,440K
38,Dell Technologies,"Computers, Office Equipment",$104.1B,108K
39,Bank of America,Commercial Banks,$101.5B,213.2K
40,Tesla,Motor Vehicles & Parts,$95.6B,125.7K
41,Walt Disney,Entertainment,$94.4B,205K
42,PepsiCo,Food Consumer Products,$92.4B,319K
43,Johnson & Johnson,Pharmaceuticals,$92.2B,138.1K
44,UPS,"Mail, Package and Freight Delivery",$89.5B,372.2K
45,FedEx,"Mail, Package and Freight Delivery",$88.6B,422.1K
46,RTX,Aerospace & Defense,$86B,186K
47,Progressive,Insurance: Property and Casualty (Stock),$85.2B,66.3K
48,Procter & Gamble,Household and Personal Products,$84.9B,108K
49,Lowe's,Specialty Retailers: Other,$84.3B,215.5K
50,Archer Daniels Midland,Food Production,$83.2B,43.2K
51,Sysco,Wholesalers: Food and Grocery,$82B,76K
52,Albertsons,Food & Drug Stores,$81.4B,196.7K
53,Boeing,Aerospace & Defense,$80.8B,172K
54,Energy Transfer,Pipelines,$79.8B,16.2K
55,Wells Fargo,Commercial Banks,$79.1B,217.5K
56,Citi,Commercial Banks,$75.4B,227.9K
57,HCA Healthcare,Health Care: Medical Facilities,$74.4B,271K
58,Lockheed Martin,Aerospace & Defense,$73.3B,121K
59,MetLife,"Insurance: Life, Health (Stock)",$71.9B,45K
60,Morgan Stanley,Commercial Banks,$68.5B,80.5K
61,Allstate,Insurance: Property and Casualty (Stock),$66.8B,55.2K
62,IBM,Information Technology Services,$65.4B,284.5K
63,American Express,Diversified Financials,$65.3B,75.1K
64,Caterpillar,Construction and Farm Machinery,$64.7B,112.9K
65,Merck,Pharmaceuticals,$64.2B,74K
66,Delta Airlines,Airlines,$62.9B,103K
67,Pfizer,Pharmaceuticals,$62.8B,81K
68,New York Life Insurance,"Insurance: Life, Health (Mutual)",$62.6B,15.1K
69,Performance Food,Wholesalers: Food and Grocery,$61.6B,36.8K
70,ConocoPhillips,"Mining, Crude-Oil Production",$61.3B,11.8K
71,Oracle,Computer Software,$61B,159K
72,TD Synnex,Wholesalers: Electronics and Office Equipment,$61B,25.8K
73,Publix Super Markets,Food & Drug Stores,$60.2B,255K
74,Broadcom,Semiconductors and Other Electronic Components,$59.9B,37K
75,AbbVie,Pharmaceuticals,$59.6B,55K
76,Eli Lilly,Pharmaceuticals,$59.4B,47K
77,TJX,Specialty Retailers: Apparel,$59B,364K
78,Nationwide,Insurance: Property and Casualty (Mutual),$58.6B,22.5K
79,United Airlines,Airlines,$58.4B,107.3K
80,Cisco Systems,Network and Other Communications Equipment,$57.7B,90.4K
81,Prudential Financial,"Insurance: Life, Health (Stock)",$57.6B,37.9K
82,Goldman Sachs,Commercial Banks,$57.3B,46.5K
83,HP,"Computers, Office Equipment",$55.3B,58K
84,Charter Communications,Telecommunications,$55.1B,94.5K
85,Tyson Foods,Food Production,$54.4B,138K
86,American Airlines,Airlines,$54.3B,133.3K
87,Intel,Semiconductors and Other Electronic Components,$53.4B,108.9K
88,Enterprise Products Partners,Pipelines,$53B,7.8K
89,General Dynamics,Aerospace & Defense,$51.5B,117K
90,Ingram Micro,Wholesalers: Electronics and Office Equipment,$51B,26.1K
91,Liberty Mutual Insurance,Insurance: Property and Casualty (Stock),$50.4B,40K
92,Uber,Internet Services and Retailing,$49.6B,31.1K
93,USAA,Insurance: Property and Casualty (Stock),$48.6B,38K
94,Travelers,Insurance: Property and Casualty (Stock),$48.4B,34K
95,Bristol-Myers Squibb,Pharmaceuticals,$48B,34.1K
96,Coca-Cola,Beverages,$47.7B,69.7K
97,TIAA,"Insurance: Life, Health (Mutual)",$46.9B,15.6K
98,Plains GP,Pipelines,$46.9B,4.2K
99,Nike,Apparel,$46.4B,79.4K
100,Deere,Construction and Farm Machinery,$45.7B,55.5K
101,Qualcomm,Semiconductors and Other Electronic Components,$44.3B,49K
102,General Electric,Aerospace & Defense,$44B,53K
103,Abbott Laboratories,Medical Products and Equipment,$43.8B,114K
104,Thermo Fisher Scientific,"Scientific, Photographic and Control Equipment",$43.7B,125K
105,Netflix,Entertainment,$43.4B,14K
106,Mass Mutual,"Insurance: Life, Health (Mutual)",$43.1B,11.2K
107,Molina Healthcare,Health Care: Insurance and Managed Care,$42.8B,18K
108,Dollar General,Specialty Retailers: Other,$42.1B,194.2K
109,Best Buy,Specialty Retailers: Other,$41.8B,85K
110,Northwestern Mutual,"Insurance: Life, Health (Mutual)",$41.4B,8.2K
111,Northrop Grumman,Aerospace & Defense,$40.9B,97K
112,Dow,Chemicals,$40.9B,36K
113,Honeywell,Industrial Machinery,$40.7B,102K
114,Salesforce,Computer Software,$40.3B,76.5K
115,Visa,Financial Data Services,$40B,31.6K
116,Philip Morris,Tobacco,$40B,83.1K
117,CBRE,Real Estate,$39.3B,140K
118,CHS,Food Production,$39.3B,10.7K
119,US Foods,Wholesalers: Food and Grocery,$39.1B,30K
120,Warner Bros. Discovery,Entertainment,$37.9B,35K
121,GE Vernova,Energy,$37.7B,76.8K
122,World Kinect,Energy,$37.6B,4.7K
123,Mondelez,Food Consumer Products,$37.6B,90K
124,Lithia Motors,"Automotive Retailing, Services",$37.6B,30.2K
125,Micron Technology,Semiconductors and Other Electronic Components,$37.4B,48K
126,Starbucks,Food Services,$37.2B,361K
127,Amgen,Pharmaceuticals,$36B,28K
128,Lennar,Homebuilders,$34.8B,13.3K
129,Hewlett Packard,"Computers, Office Equipment",$34.3B,61K
130,D.R. Horton,Homebuilders,$34.3B,14.8K
131,Coupang,Internet Services and Retailing,$33.7B,95K
132,Cummins,Industrial Machinery,$33.6B,69.6K
133,GuideWell Mutual,"Insurance: Life, Health (Stock)",$33B,17.9K
134,PayPal,Financial Data Services,$32.9B,24.4K
135,Advanced Micro Devices,Semiconductors and Other Electronic Components,$32B,28K
136,Nucor,Metals,$31.9B,32.7K
137,United Natural Foods,Wholesalers: Food and Grocery,$31.8B,28.3K
138,Oneok,Pipelines,$31.6B,5.2K
139,Mastercard,Financial Data Services,$31.5B,35.3K
140,Duke Energy,Utilities: Gas and Electric,$31.2B,26.4K
141,Ferguson,Wholesalers: Diversified,$31.2B,35K
142,Penske Automotive,"Automotive Retailing, Services",$30.7B,28.9K
143,Jabil,Semiconductors and Other Electronic Components,$29.8B,138K
144,NRG Energy,Energy,$29.8B,15.6K
145,PBF Energy,Petroleum Refining,$29.5B,3.9K
146,Paccar,Motor Vehicles & Parts,$29.5B,30.1K
147,Arrow Electronics,Wholesalers: Electronics and Office Equipment,$29.4B,21.5K
148,Gilead Sciences,Pharmaceuticals,$29.1B,17.6K
149,Southern,Utilities: Gas and Electric,$28.9B,28.5K
150,Capital One,Commercial Banks,$28.9B,52.6K
151,Paramount,Entertainment,$28.7B,20.4K
152,Applied Materials,Semiconductors and Other Electronic Components,$28.4B,35.7K
153,CarMax,"Automotive Retailing, Services",$28.3B,29.8K
154,AutoNation,"Automotive Retailing, Services",$27.9B,25.1K
155,Hartford Insurance,Insurance: Property and Casualty (Stock),$27.9B,19.1K
156,Baker Hughes,"Oil and Gas Equipment, Services",$27.7B,57K
157,Southwest Airlines,Airlines,$27.6B,72.5K
158,Apollo Global Management,Securities,$27.2B,5.1K
159,Quanta Services,Engineering & Construction,$27.2B,58.4K
160,American International,Insurance: Property and Casualty (Stock),$27.1B,22.2K
161,HF Sinclair,Petroleum Refining,$26.9B,5.3K
162,Occidental Petroleum,"Mining, Crude-Oil Production",$26.6B,13.3K
163,Marsh & McLennan,Diversified Financials,$26.4B,90K
164,NextEra Energy,Utilities: Gas and Electric,$26.3B,16.8K
165,McDonald's,Food Services,$26.3B,150K
166,Booking.com,Internet Services and Retailing,$26B,24.2K
167,U.S. Bancorp,Commercial Banks,$26B,70.3K
168,Freeport-McMoRan,"Mining, Crude-Oil Production",$26B,28.5K
169,Jones Lang LaSalle,Real Estate,$25.3B,112.1K
170,Kraft Heinz,Food Consumer Products,$25.2B,36K
171,Marriott International,"Hotels, Casinos, Resorts",$25.1B,155K
172,Constellation Energy,Energy,$24.8B,14.2K
173,3M,Chemicals,$24.8B,61.5K
174,Waste Management,Waste Management,$24.8B,61.7K
175,PG&E,Utilities: Gas and Electric,$24.8B,28.4K
176,Live Nation Entertainment,Entertainment,$24.6B,24.2K
177,Union Pacific,Railroads,$24.6B,32.4K
178,Stryker,Medical Products and Equipment,$24.4B,53K
179,International Paper,"Packaging, Containers",$24.3B,37K
